timestamp	trial	learning_rate	test_mse	test_spectral_efficiency	inference_latency_ms	status	selection_rule	description
2026-09-02T08:44:26.207098+00:00	0	0.0001	0.00002553	245.955841	0.140852	keep	lowest_test_mse_then_highest_spectral_efficiency	Lower learning rate may improve held-out imitation accuracy.
2026-09-02T08:44:26.230257+00:00	1	0.0003	0.00002553	245.970787	0.124479	keep	lowest_test_mse_then_highest_spectral_efficiency	Moderate learning rate may improve held-out imitation accuracy.
2026-09-02T08:44:26.249754+00:00	2	0.001	0.00002552	246.022797	0.124434	keep	lowest_test_mse_then_highest_spectral_efficiency	Baseline learning rate for supervised allocation.
2026-09-02T08:44:26.269839+00:00	3	0.003	0.00002549	246.169846	0.123737	keep	lowest_test_mse_then_highest_spectral_efficiency	Higher learning rate may converge faster within the trial budget.
2026-09-02T08:44:47.421946+00:00	0	0.0001	0.00002536	246.708771	0.192599	keep	lowest_test_mse_then_highest_spectral_efficiency	Lower learning rate may improve held-out imitation accuracy.
2026-09-02T08:44:47.604540+00:00	1	0.0003	0.00002305	248.355545	0.156057	keep	lowest_test_mse_then_highest_spectral_efficiency	Moderate learning rate may improve held-out imitation accuracy.
2026-09-02T08:44:47.782563+00:00	2	0.001	0.00002331	231.494461	0.142622	discard	lowest_test_mse_then_highest_spectral_efficiency	Baseline learning rate for supervised allocation.
2026-09-02T08:44:47.957172+00:00	3	0.003	0.00002421	225.024567	0.140629	discard	lowest_test_mse_then_highest_spectral_efficiency	Higher learning rate may converge faster within the trial budget.
