timestamp	trial	learning_rate	test_mse	test_spectral_efficiency	inference_latency_ms	status	description
2026-09-02T08:43:06.268926+00:00	0	0.0001	0.00002547	245.235260	0.193178	keep	Lower learning rate may improve held-out imitation accuracy.
2026-09-02T08:43:06.464383+00:00	1	0.0003	0.00002413	250.402718	0.164797	keep	Moderate learning rate may improve held-out imitation accuracy.
2026-09-02T08:43:06.649652+00:00	2	0.001	0.00002177	239.905685	0.144394	discard	Baseline learning rate for supervised allocation.
2026-09-02T08:43:06.826296+00:00	3	0.003	0.00002187	229.497917	0.141301	discard	Higher learning rate may converge faster within the trial budget.
